id,value,color
Yelp,
Yelp.AB,
Yelp.AB.closed,
Yelp.AB.closed,	3.395273,#D6BA33
Yelp.AB.open
Yelp.AB.open,3.462264,#1169AE
Yelp.AZ,
Yelp.AZ.closed,
Yelp.AZ.closed,	3.471452,#D6BA33
Yelp.AZ.open
Yelp.AZ.open,3.618833,#1169AE
Yelp.CA,
Yelp.CA.closed,
Yelp.CA.closed,	3.713093,#D6BA33
Yelp.CA.open
Yelp.CA.open,4.076138,#1169AE
Yelp.CO,
Yelp.CO.closed,
Yelp.CO.closed,	3.750000,#D6BA33
Yelp.CO.open
Yelp.CO.open,4.500000,#1169AE
Yelp.DE,
Yelp.DE.closed,
Yelp.DE.closed,	3.299191,#D6BA33
Yelp.DE.open
Yelp.DE.open,3.365892,#1169AE
Yelp.FL,
Yelp.FL.closed,
Yelp.FL.closed,	3.541232,#D6BA33
Yelp.FL.open
Yelp.FL.open,3.626462,#1169AE
Yelp.HI,
Yelp.HI.closed,
Yelp.HI.closed,	5.000000,#D6BA33
Yelp.HI.open
Yelp.HI.open,3.500000,#1169AE
Yelp.ID,
Yelp.ID.closed,
Yelp.ID.closed,	3.565789,#D6BA33
Yelp.ID.open
Yelp.ID.open,3.733280,#1169AE
Yelp.IL,
Yelp.IL.closed,
Yelp.IL.closed,	3.368421,#D6BA33
Yelp.IL.open
Yelp.IL.open,3.369972,#1169AE
Yelp.IN,
Yelp.IN.closed,
Yelp.IN.closed,	3.531291,#D6BA33
Yelp.IN.open
Yelp.IN.open,3.602895,#1169AE
Yelp.LA,
Yelp.LA.closed,
Yelp.LA.closed,	3.612989,#D6BA33
Yelp.LA.open
Yelp.LA.open,3.698541,#1169AE
Yelp.MA,
Yelp.MA.closed,
Yelp.MA.closed,	1.250000,#D6BA33
Yelp.MA.open
Yelp.MA.open,2.50000,#1169AE
Yelp.MO,
Yelp.MO.closed,
Yelp.MO.closed,	3.476667,#D6BA33
Yelp.MO.open
Yelp.MO.open,3.567261,#1169AE
Yelp.NJ,
Yelp.NJ.closed,
Yelp.NJ.closed,	3.403987,#D6BA33
Yelp.NJ.open
Yelp.NJ.open,3.4709151,#1169AE
Yelp.NV,
Yelp.NV.closed,
Yelp.NV.closed,	3.593185,#D6BA33
Yelp.NV.open
Yelp.NV.open,3.769794,#1169AE
Yelp.PA,
Yelp.PA.closed,
Yelp.PA.closed,	3.469355,#D6BA33
Yelp.PA.open
Yelp.PA.open,3.603579,#1169AE
Yelp.TN,
Yelp.TN.closed,
Yelp.TN.closed,	3.544381,#D6BA33
Yelp.TN.open
Yelp.TN.open,3.578438,#1169AE
